RANK,MARK,WIND,COMPETITOR,DOB,NAT,POS,VENUE,DATE
1,12.98,1.2,Omar MCLEOD,25-Apr-94,JAM JAM,1,Shanghai,14-May-16
,13.01,0.4,Omar MCLEOD,25-Apr-94,JAM JAM,1,"Kingston (NS), JAM",2-Jul-16
2,13.03,1,Devon ALLEN,12-Dec-94,USA USA,1,"Eugene (Hayward Field), OR",9-Jul-16
3,13.04,0,Orlando ORTEGA,29-Jul-91,ESP ESP,1,Monaco (Stade Louis II),15-Jul-16
,13.05,1.4,Omar MCLEOD,25-Apr-94,JAM JAM,1,Doha (Hamad Bin Suhaim),6-May-16
,13.06,0.7,Omar MCLEOD,25-Apr-94,JAM JAM,1,"Eugene (Hayward Field), OR",28-May-16
,13.08,-0.1,Omar MCLEOD,25-Apr-94,JAM JAM,1,"Des Moines (Drake Stadium), IA",30-Apr-16
4,13.09,0.2,David OLIVER,24-Apr-82,USA USA,1,"Kingston (NS), JAM",11-Jun-16
,13.09,1,Orlando ORTEGA,29-Jul-91,ESP ESP,1,Gijón,24-Jul-16
5,13.1,1.4,Hansle PARCHMENT,17-Jun-90,JAM JAM,2,Doha (Hamad Bin Suhaim),6-May-16
,13.12,1.4,Orlando ORTEGA,29-Jul-91,ESP ESP,3,Doha (Hamad Bin Suhaim),6-May-16
,13.12,1.2,Hansle PARCHMENT,17-Jun-90,JAM JAM,2,Shanghai,14-May-16
,13.12,1.4,David OLIVER,24-Apr-82,USA USA,1,Rabat (Prince Moulay Abdellah),22-May-16
6,13.12,0,Dimitri BASCOU,20-Jul-87,FRA FRA,2,Monaco (Stade Louis II),15-Jul-16
,13.13,1.4,Orlando ORTEGA,29-Jul-91,ESP ESP,2,Rabat (Prince Moulay Abdellah),22-May-16
,13.16,1.4,David OLIVER,24-Apr-82,USA USA,4,Doha (Hamad Bin Suhaim),6-May-16
,13.17,0.9,Orlando ORTEGA,29-Jul-91,ESP ESP,1,Madrid (Moratalaz),23-Jun-16
7,13.17,0,Pascal MARTINOT-LAGARDE,22-Sep-91,FRA FRA,3,Monaco (Stade Louis II),15-Jul-16
8,13.18,1.4,Ronnie ASH,2-Jul-88,USA USA,1h1,"Montverde, FL",11-Jun-16
9,13.19,-0.8,Andrew POZZI,15-May-92,GBR GBR,1h1,London (Olympic Stadium),23-Jul-16
10,13.2,0.2,Deuce CARTER,28-Sep-90,JAM JAM,2,"Kingston (NS), JAM",11-Jun-16
,13.2,-0.5,Dimitri BASCOU,20-Jul-87,FRA FRA,1sf3,Amsterdam (Olympisch Stadion),9-Jul-16
,13.2,-1,Dimitri BASCOU,20-Jul-87,FRA FRA,1,London (Olympic Stadium),23-Jul-16
,13.21,0.4,Deuce CARTER,28-Sep-90,JAM JAM,2,"Kingston (NS), JAM",2-Jul-16
,13.21,1,Ronnie ASH,2-Jul-88,USA USA,2,"Eugene (Hayward Field), OR",9-Jul-16
11,13.21,1,Jeff PORTER,25-Nov-85,USA USA,3,"Eugene (Hayward Field), OR",9-Jul-16
11,13.21,1.8,Gregor TRABER,2-Dec-92,GER GER,1,Mannheim (Hoffmann),29-Jul-16
,13.22,0.6,Orlando ORTEGA,29-Jul-91,ESP ESP,1,Roma (Stadio Olimpico),2-Jun-16
13,13.22,1,Aries MERRITT,24-Jul-85,USA USA,4,"Eugene (Hayward Field), OR",9-Jul-16
,13.24,0.2,Aries MERRITT,24-Jul-85,USA USA,1,Beijing (National Stadium),18-May-16
,13.24,1.7,Dimitri BASCOU,20-Jul-87,FRA FRA,1h1,Angers,26-Jun-16
14,13.25,0,Jarret EATON,24-Jun-89,USA USA,1,Ostrava (Mestsk_ Stadion),20-May-16
,13.25,0,Dimitri BASCOU,20-Jul-87,FRA FRA,1,Amsterdam (Olympisch Stadion),9-Jul-16
14,13.25,1.2,David OMOREGIE,1-Nov-95,GBR GBR,1r1,Loughborough,16-Jul-16
16,13.27,0.6,Antwon HICKS,12-Mar-83,NGR NGR,1,Sapele (TS),7-Jul-16
17,13.28,1.4,Antonio ALKANA,12-Apr-90,RSA RSA,3,Rabat (Prince Moulay Abdellah),22-May-16
17,13.28,0,Balázs BAJI,9-Jun-89,HUN HUN,2,Amsterdam (Olympisch Stadion),9-Jul-16
17,13.28,1,Jason RICHARDSON,4-Apr-86,USA USA,5,"Eugene (Hayward Field), OR",9-Jul-16
17,13.28,-1.8,Wilhem BELOCIAN,22-Jun-95,FRA FRA,1sf2,Amsterdam (Olympisch Stadion),9-Jul-16
21,13.32,-1.8,Damian CZYKIER,10-Aug-92,POL POL,3sf2,Amsterdam (Olympisch Stadion),9-Jul-16
22,13.33,1.7,Aurel MANGA,24-Jul-92,FRA FRA,3h1,Angers,26-Jun-16
23,13.34,1.2,Wenjun XIE,11-Jul-90,CHN CHN,3,Shanghai,14-May-16
24,13.35,1.9,Johnathan CABRAL,31-Dec-92,CAN CAN,1r1,"Norwalk, CA",16-Apr-16
24,13.35,1.8,Andrew RILEY,6-Sep-88,JAM JAM,1r1,"Eugene (Hayward Field), OR",29-Jul-16
26,13.36,0.4,Ronald FORBES,5-Apr-85,CAY CAY,2r1,"Clermont (NTC), FL",30-Apr-16
26,13.36,0.3,Yeison RIVAS,24-Sep-87,COL COL,1,Medellín,10-Jul-16
28,13.38,0.6,Alexander JOHN,3-May-86,GER GER,1h2,"Clermont (NTC), FL",14-May-16
28,13.38,1.4,Konstadínos DOUVALÍDIS,10-Mar-87,GRE GRE,4,Rabat (Prince Moulay Abdellah),22-May-16
30,13.39,1.9,Eddie LOVETT,25-Jun-92,ISV ISV,1r1,"Gainesville, FL",1-Apr-16
30,13.39,2,Milan RISTIC,8-Aug-91,SRB SRB,1r1,"Clermont (NTC), FL",14-May-16
30,13.39,0.3,Milan TRAJKOVIC,17-Sep-92,CYP CYP,1h1,Amsterdam (Olympisch Stadion),8-Jul-16
33,13.4,1.9,Mikel THOMAS,23-Nov-87,TTO TTO,2r1,"Norwalk, CA",16-Apr-16
33,13.4,1.1,Adarius WASHINGTON,19-Oct-92,USA USA,1,"Des Moines (Drake Stadium), IA",30-Apr-16
35,13.41,1.1,William BARNES,17-Mar-94,USA USA,2,"Des Moines (Drake Stadium), IA",30-Apr-16
36,13.42,1.3,Damian WARNER,4-Nov-89,CAN CAN,1r1,"Lexington, KY",7-May-16
36,13.42,-0.7,Lawrence CLARKE,12-Mar-90,GBR GBR,1r1,Luzern (Stadion Allmend),14-Jun-16
38,13.43,1.9,Isaac WILLIAMS,30-Nov-93,USA USA,3r1,"Norwalk, CA",16-Apr-16
38,13.43,0.1,Aleec HARRIS,31-Oct-90,USA USA,2,Baie Mahault,14-May-16
38,13.43,1.8,Maximilian BAYER,5-Dec-90,GER GER,2,Mannheim (Hoffmann),29-Jul-16
41,13.44,1.4,Spencer ADAMS,10-Sep-89,USA USA,7,Doha (Hamad Bin Suhaim),6-May-16
41,13.44,1,Devon HILL,26-Oct-89,USA USA,1,"Coral Gables, FL",4-Jun-16
41,13.44,0.3,Matthias BÜHLER,2-Sep-86,GER GER,1,Kassel (Auestadion),18-Jun-16
44,13.45,1.9,Benjamin SÉDÉCIAS,18-Jan-95,FRA FRA,1,La Roche-sur-Yon,13-Jul-16
44,13.45,1,Yidiel CONTRERAS,27-Nov-92,ESP ESP,2,Gijón,24-Jul-16
46,13.46,0.2,Tyler MASON,15-Nov-95,JAM JAM,5,"Kingston (NS), JAM",11-Jun-16
47,13.47,2,Jeffrey JULMIS,6-Jan-87,HAI HAI,2r1,"Clermont (NTC), FL",14-May-16
47,13.47,1.4,Wataru YAZAWA,2-Jul-91,JPN JPN,1r2,Tottori,5-Jun-16
49,13.48,1.9,Ashton EATON,21-Jan-88,USA USA,4r1,"Norwalk, CA",16-Apr-16
49,13.48,0.8,Freddie CRITTENDEN,2-Aug-96,USA USA,1,"Auburn, AL",23-Apr-16
49,13.48,0.5,Ryan FONTENOT,4-May-86,USA USA,1r2,"Houston, TX",6-May-16
49,13.48,2,Logan TAYLOR,3-Apr-86,USA USA,3r1,"Clermont (NTC), FL",14-May-16
49,13.48,0.3,Aaron MALLETT,26-Sep-94,USA USA,1,"Lincoln, NE",15-May-16
49,13.48,0,Gregory SEDOC,16-Oct-81,NED NED,3r1,Weinheim,28-May-16
